id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
AXS2,AXS2,AXS,Axie Infinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AXS2.jpg,active,17.55131855,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,71046952,270000000,1246967678,0.0011,120,260,3,2018-12-12T00:00:00Z,2020-11-04T00:00:00Z,2020-11-04T00:00:00Z,50,-1,160.73738896,2021-11-07T00:00:00Z,337402458.07,0.64621784,0.0382,-8743679.51,-0.0253,45911807.33,0.0382,ETH,2020-11-09T16:49:37.895041Z
EOS,EOS,EOS,EOS,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eos.svg,active,1.19711381,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1003561021,,1201376754,0.0011,239,1719,138,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-08-29T00:00:00Z,51,1,20.87934749,2018-04-29T00:00:00Z,396070780.37,0.028195788,0.0241,-300652171.98,-0.4315,28429297.25,0.0242,EOS,
TUSD,TUSD,TUSD,TrueUSD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/tusd.svg,active,1.00044994,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1198190112,1198190112,1198729231,0.0011,135,867,65,2018-03-06T00:00:00Z,2018-03-06T00:00:00Z,2018-08-29T00:00:00Z,52,-2,1.08791066,2018-05-21T00:00:00Z,328906122.94,0.00062526236,0.0006,-104633658.70,-0.2413,7081980.00,0.0059,ETH,
BSV,BSV,BSV,Bitcoin SV,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BSV.png,active,61.11968670,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,19132327,21000000,1169361810,0.0011,147,734,135,2017-07-09T00:00:00Z,2018-11-08T00:00:00Z,2018-11-13T00:00:00Z,53,0,441.01031808,2021-04-16T00:00:00Z,57048504.06,0.92424078,0.0154,-40602230.75,-0.4158,17740062.12,0.0154,,
1INCH,1INCH,1INCH,1inch,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/1INCH.jpg,active,0.79429962,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1464561639,1500000000,1163300750,0.0010,120,351,4,2018-12-17T00:00:00Z,2020-12-25T00:00:00Z,2019-02-14T00:00:00Z,54,0,7.50445200,2021-05-08T00:00:00Z,124949812.04,0.060465930,0.0824,25568724.53,0.2573,88556081.11,0.0824,ETH,2020-12-28T18:53:34.959468Z
HELIUM,HELIUM,HNT,Helium,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HELIUM.jpeg,active,8.69634956,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,124677628,,1084240235,0.0010,30,54,0,2020-04-17T00:00:00Z,2020-09-15T00:00:00Z,2020-04-17T00:00:00Z,55,0,52.77577424,2021-11-14T00:00:00Z,17099142.46,0.14779773,0.0173,-2918507.42,-0.1458,18840209.62,0.0177,,
CUSDC,CUSDC,CUSDC,Compound USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CUSDC.png,active,0.022632746,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,44379737993,44379737993,1004435337,0.0009,9,83,0,2019-09-22T00:00:00Z,2020-04-02T00:00:00Z,2020-04-09T00:00:00Z,56,0,0.95915556,2019-11-26T00:00:00Z,11815986.78,0.000014076871,0.0006,-200012.07,-0.0166,-1510049.87,-0.0015,ETH,
KCS,KCS,KCS,KuCoin Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/kcs.jpg,active,10.11797054,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,97784597,145284597,989381669,0.0009,18,120,4676,2017-09-17T00:00:00Z,2020-03-26T00:00:00Z,2019-06-04T00:00:00Z,57,0,27.61556150,2021-12-01T00:00:00Z,2673784.16,0.24977965,0.0253,-508038.28,-0.1597,24424602.03,0.0253,ETH,
OMI,OMI,OMI,ECOMI,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OMI.png,active,0.0016690755,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,581910045187,750000000000,971251794,0.0009,5,8,0,2019-10-01T00:00:00Z,2021-03-23T00:00:00Z,2020-02-14T00:00:00Z,58,0,0.013122054,2021-03-19T00:00:00Z,315589.29,0.000019548951,0.0119,-86455.23,-0.2150,11375730.78,0.0119,GO,2021-02-02T14:53:17.269368Z
MKR,MKR,MKR,Maker,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MKR.svg,active,1063.96178258,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,901311,977631,958960402,0.0009,175,779,15,2017-12-21T00:00:00Z,2017-12-21T00:00:00Z,2018-09-07T00:00:00Z,59,0,5989.09431329,2021-05-03T00:00:00Z,125425646.36,35.79625152,0.0348,-35516516.53,-0.2207,32263553.37,0.0348,ETH,
BTT2,BTT2,BTT,BitTorrent V2,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BTT2.png,active,0.00000098002149,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,937418500000000,990000000000000,918690280,0.0008,46,72,7,2019-01-31T00:00:00Z,2019-02-08T00:00:00Z,2019-02-14T00:00:00Z,60,0,0.010843928,2021-04-06T00:00:00Z,58213380.01,-0.0000000028305335,-0.0029,-21604350.85,-0.2707,-2653394.45,-0.0029,TRX,2021-12-22T22:21:23.096382Z
SNX,SNX,SNX,Synthetix Network Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SNX.png,active,3.92091048,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,231906521,288213318,909284708,0.0008,150,1103,16,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z,2019-05-15T00:00:00Z,61,1,27.15917775,2021-02-12T00:00:00Z,239591234.56,0.14355443,0.0380,-96749711.36,-0.2877,36175749.95,0.0414,ETH,
GRT,GRT,GRT,The Graph,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GRT.jpg,active,0.12277221,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,7400273157,10000000000,908547924,0.0008,133,296,0,2020-05-23T00:00:00Z,2020-12-17T00:00:00Z,2020-05-23T00:00:00Z,62,2,2.34093454,2021-02-13T00:00:00Z,106961415.54,0.0056822758,0.0485,-56323791.77,-0.3449,42050393.37,0.0485,ETH,
IOT,IOT,IOT,IOTA (MIOTA),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/iot.svg,active,0.32517906,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,2779530283,2779530283,903845041,0.0008,41,116,0,2017-06-12T00:00:00Z,2017-06-12T00:00:00Z,2018-08-29T00:00:00Z,63,-2,5.37680344,2017-12-19T00:00:00Z,17347480.80,0.0075360058,0.0237,-6060857.59,-0.2589,20946556.39,0.0237,,
FTM,FTM,FTM,Fantom,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ftm.png,active,0.35384943,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,2541152731,3175000000,899185439,0.0008,151,1266,21322,2018-10-28T00:00:00Z,2018-10-29T00:00:00Z,2019-06-04T00:00:00Z,64,3,3.31080892,2022-01-16T00:00:00Z,530703529.82,0.028953739,0.0891,-48458875.31,-0.0837,73575873.03,0.0891,FTM,
KLAY,KLAY,KLAY,Klaytn,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KLAY.jpg,active,0.29555290,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,2964193109,,876075867,0.0008,54,92,0,2019-09-26T00:00:00Z,2020-03-02T00:00:00Z,2020-02-21T00:00:00Z,65,1,4.22050699,2021-03-30T00:00:00Z,37558962.34,0.0084477164,0.0294,-9296308.61,-0.1984,25116029.17,0.0295,KLAY,
PAX,PAX,USDP,Pax Dollar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/pax.png,active,0.99812427,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,868853164,868853164,867223429,0.0008,112,629,20,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-09-29T00:00:00Z,66,-1,1.06127546,2021-10-13T00:00:00Z,3083821.54,0.0031744247,0.0032,-1850831.75,-0.3751,2811255.74,0.0033,ETH,
CETH,CETH,CETH,Compound Ether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CETH.png,active,33.18469404,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,26003549,26003549,862919803,0.0008,4,40,0,2020-03-25T00:00:00Z,2020-06-27T00:00:00Z,2021-10-27T00:00:00Z,67,-4,96.49369533,2021-11-08T00:00:00Z,23943490.74,0.94469660,0.0293,20194709.45,5.3870,-6190174.80,-0.0071,ETH,
XEC,XEC,XEC,eCash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XEC.jpg,active,0.000043292402,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,19132348423303,21000000000000,828285325,0.0007,39,74,1,2020-09-24T00:00:00Z,2020-11-15T00:00:00Z,2020-11-15T00:00:00Z,68,0,0.00033372517,2021-09-04T00:00:00Z,9182630.45,0.0000011611609,0.0276,-5657309.08,-0.3812,22258919.04,0.0276,,2021-07-07T19:15:23.761148Z
RUNE,RUNE,RUNE,THORChain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/RUNE.png,active,2.72921071,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,300755175,500000000,820824246,0.0007,49,101,0,2019-07-20T00:00:00Z,2019-07-20T00:00:00Z,2019-07-26T00:00:00Z,69,2,20.34162949,2021-05-18T00:00:00Z,378380768.94,0.17291617,0.0676,35344778.84,0.1030,52005431.85,0.0676,BNB,
ZEC,ZEC,ZEC,Zcash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zec.svg,active,62.88401221,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,12720299,21000000,799903451,0.0007,193,608,71,2016-09-15T00:00:00Z,2016-09-15T00:00:00Z,2018-08-29T00:00:00Z,70,0,2073.15538689,2016-10-29T00:00:00Z,136563163.81,2.06585646,0.0340,-10902176.55,-0.0739,26487914.26,0.0342,,
CDAI,CDAI,CDAI,Compound Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CDAI.png,active,0.022043528,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,35451598915,35451598915,781478329,0.0007,8,81,1,2020-03-25T00:00:00Z,2020-04-02T00:00:00Z,2020-04-09T00:00:00Z,71,-2,0.15067320,2020-10-04T00:00:00Z,574660.48,0.000062775509,0.0029,-2132801.42,-0.7877,2834479.85,0.0036,ETH,
NEO,NEO,NEO,NEO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/neo.svg,active,11.00709979,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,70530000,100000000,776330748,0.0007,141,466,4,2016-10-26T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,72,0,190.70558614,2018-01-15T00:00:00Z,80086813.18,0.23009229,0.0214,-76138387.32,-0.4874,16228408.92,0.0214,NEO,
CHZ,CHZ,CHZ,Chiliz,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CHZ.png,active,0.14343951,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,5344064580,8888888888,766550015,0.0007,118,307,4,2019-06-29T00:00:00Z,2019-06-29T00:00:00Z,2019-07-17T00:00:00Z,73,3,0.70080187,2021-03-12T00:00:00Z,223384100.86,0.0093646586,0.0698,-339641185.70,-0.6032,50045340.14,0.0698,CHZ,
OP4,OP4,OP,Optimism,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OP4.jpg,active,2.17427604,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,345407478,4294967296,751011203,0.0007,3,27,15,2022-05-31T00:00:00Z,2022-05-31T00:00:00Z,2022-04-26T00:00:00Z,74,15,2.17427604,2022-08-04T00:00:00Z,20863982.64,0.54223507,0.3322,5288172.82,0.3395,189347383.66,0.3371,OPETH,2022-05-31T17:01:50.668487Z
HBTC,HBTC,HBTC,Huobi BTC (ERC-20),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HBTC.png,active,23135.29772457,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,31585,38970,730739352,0.0007,11,13,1,2020-08-27T00:00:00Z,2020-08-27T00:00:00Z,2020-09-28T00:00:00Z,75,0,65943.65676757,2021-11-03T00:00:00Z,5247.07,381.35715210,0.0168,52.59,0.0101,12045346.53,0.0168,ETH,2020-12-20T19:05:46.698792Z
ELG,ELG,ELG,Escoin Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ELG.jpg,active,3.04656843,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,237976494,250000000,725011673,0.0007,10,16,1,2020-11-30T00:00:00Z,2020-11-30T00:00:00Z,2021-01-05T00:00:00Z,76,-3,3.59843413,2022-06-18T00:00:00Z,2112819.87,0.0030729438,0.0010,-31246.04,-0.0146,731288.40,0.0010,ETH,2020-12-01T17:25:58.226026Z
AR,AR,AR,Arweave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AR.jpeg,active,14.39781585,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,50108502,64598643,721452984,0.0006,41,70,0,2020-02-13T00:00:00Z,2020-06-20T00:00:00Z,2020-02-13T00:00:00Z,77,0,85.87578397,2021-11-04T00:00:00Z,52266005.42,0.27590695,0.0195,-7458065.76,-0.1249,13825283.86,0.0195,,
USDN,USDN,USD-N,Neutrino,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/USDN.jpg,active,0.98811774,2022-08-04T00:00:00Z,2022-08-04T02:45:00Z,728815031,728815031,720155062,0.0006,9,172,1250,2019-12-07T00:00:00Z,,2020-01-07T00:00:00Z,78,-4,1.07915335,2020-03-19T00:00:00Z,575152.90,-0.0043242270,-0.0044,37998.09,0.0707,-3461793.12,-0.0048,WAVES,2021-02-02T14:53:17.269368Z
CRV,CRV,CRV,Curve DAO Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CRV2.jpg,active,1.37292247,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,521892062,1797402901,716517336,0.0006,145,492,38,2020-08-12T00:00:00Z,2020-08-12T00:00:00Z,2020-08-14T00:00:00Z,79,-1,11.22430435,2020-08-14T00:00:00Z,288270547.45,0.064253556,0.0491,-53394083.16,-0.1563,33802957.69,0.0495,ETH,
HT,HT,HT,Huobi Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HT.jpg,active,4.39505123,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,153920626,500000000,676489037,0.0006,86,2679,23237,2018-06-16T00:00:00Z,2018-06-16T00:00:00Z,2019-02-15T00:00:00Z,80,-1,34.96513293,2021-05-12T00:00:00Z,14705724.79,0.11286323,0.0264,418748.00,0.0293,17371978.86,0.0264,HT,
LUNA,LUNA,LUNC,Terra Luna Classic,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LUNA.png,active,0.00010092953,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,6536407736540,6907072876045,659716589,0.0006,98,226,20,2019-06-05T00:00:00Z,2019-07-26T00:00:00Z,2019-07-04T00:00:00Z,81,-1,116.54019485,2022-04-04T00:00:00Z,87597268.77,0.0000013127951,0.0132,-61658552.52,-0.4131,8580963.81,0.0132,LUNA,
GT,GT,GT,Gatechain Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GT.png,active,4.52326460,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,145377817,300000000,657582331,0.0006,24,56,0,2019-04-21T00:00:00Z,2019-04-21T00:00:00Z,2019-06-04T00:00:00Z,82,-1,11.27305113,2021-05-12T00:00:00Z,1322302.01,0.14753683,0.0337,-70421.70,-0.0506,21448582.94,0.0337,ETH,
AMP2,AMP2,AMP,AMP Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AMP2.jpg,active,0.0082464941,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,76029258885,99444125026,626974835,0.0006,29,61,2,2015-11-04T00:00:00Z,2017-11-22T00:00:00Z,2018-09-12T00:00:00Z,83,-1,0.10878585,2021-06-16T00:00:00Z,8368160.87,0.000085634465,0.0105,-4810038.36,-0.3650,6581381.91,0.0106,ETH,2020-12-08T16:40:31.111161Z
BLOCKSTACK,BLOCKSTACK,STX,Stacks,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BLOCKSTACK.png,active,0.47128677,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,1326594224,1352464600,625206309,0.0006,33,65,0,2017-11-10T00:00:00Z,2017-11-10T00:00:00Z,2019-06-05T00:00:00Z,84,2,2.87847403,2021-12-01T00:00:00Z,75182923.01,0.027683240,0.0624,48514865.55,1.8192,36784724.19,0.0625,,
ZIL,ZIL,ZIL,Zilliqa,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zil.svg,active,0.042395009,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,14664292802,21000000000,621692820,0.0006,118,437,265,2018-01-25T00:00:00Z,2018-01-25T00:00:00Z,2018-08-29T00:00:00Z,85,-1,0.23706334,2021-04-16T00:00:00Z,200137647.70,0.0011765668,0.0285,-79803746.15,-0.2851,17415889.32,0.0288,ZIL,
ENJ,ENJ,ENJ,Enjin Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/enj.svg,active,0.65464149,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,934340660,1000000000,611658165,0.0005,163,407,0,2017-11-01T00:00:00Z,2017-11-01T00:00:00Z,2018-08-29T00:00:00Z,86,2,4.51272012,2021-11-24T00:00:00Z,156612739.19,0.049583705,0.0819,34402360.39,0.2815,46328072.07,0.0819,ETH,
BAT,BAT,BAT,Basic Attention Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bat.svg,active,0.40647589,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1496165879,1500000000,608155355,0.0005,221,734,14,2017-06-03T00:00:00Z,2017-10-01T00:00:00Z,2018-08-29T00:00:00Z,87,0,1.75884839,2021-11-27T00:00:00Z,147237993.40,0.015845346,0.0406,63441131.05,0.7571,23707266.39,0.0406,ETH,
DFI,DFI,DFI,DeFiChain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DFI.jpg,active,1.06550463,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,563488954,1200000000,600400092,0.0005,10,34,0,2020-06-17T00:00:00Z,2021-03-31T00:00:00Z,2020-06-17T00:00:00Z,88,-5,5.51303750,2021-12-05T00:00:00Z,7454196.14,-0.012283879,-0.0114,-1315881.73,-0.1500,-6307964.16,-0.0104,,
PAXG,PAXG,PAXG,PAX Gold,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/PAXG.png,active,1765.05681917,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,339687,339687,599567147,0.0005,54,133,9,2019-09-10T00:00:00Z,2019-10-01T00:00:00Z,2019-10-18T00:00:00Z,89,-4,2092.88197361,2020-08-06T00:00:00Z,25047577.54,-10.17747310,-0.0057,-13336700.13,-0.3475,-3457156.98,-0.0057,ETH,
WAVES,WAVES,WAVES,Waves,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WAVES.png,active,5.73180368,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,100000000,100000000,573180368,0.0005,110,1693,6150,2016-06-20T00:00:00Z,2016-11-15T00:00:00Z,2018-08-29T00:00:00Z,90,0,54.56522545,2022-03-31T00:00:00Z,301214248.41,0.12455049,0.0222,-259190784.46,-0.4625,12455049.23,0.0222,WAVES,
CAKE,CAKE,CAKE,PancakeSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CAKE.jpg,active,3.98283753,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,142519223,315821924,567630909,0.0005,136,2182,2416,2020-09-22T00:00:00Z,2020-09-22T00:00:00Z,2020-09-29T00:00:00Z,91,2,42.70260434,2021-04-29T00:00:00Z,76102759.64,0.24211234,0.0647,10403535.63,0.1584,33570445.52,0.0629,BNB,2021-02-02T14:53:17.269368Z
KSM,KSM,KSM,Kusama,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KSM.jpg,active,62.28077637,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,8980098,10000000,559287480,0.0005,80,161,0,2019-07-31T00:00:00Z,2020-07-25T00:00:00Z,2019-12-31T00:00:00Z,92,0,597.32064231,2021-05-14T00:00:00Z,48448061.36,2.20655238,0.0367,-8936477.81,-0.1557,19815056.73,0.0367,,
TIME5,TIME5,TIME,TIME (Wonderland),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TIME5.png,active,13.75720833,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,40064752,40065045,551179145,0.0005,10,33,5,2021-09-02T00:00:00Z,2021-09-02T00:00:00Z,2021-10-27T00:00:00Z,93,-2,9647.64471408,2021-11-07T00:00:00Z,134566.84,-0.15758633,-0.0113,-87122.75,-0.3930,3714718.23,0.0068,AVAX,2021-09-07T18:38:16.040658Z
DASH,DASH,DASH,Dash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dash.svg,active,49.89435635,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,10849927,18920000,541350145,0.0005,225,1002,181,2014-02-07T00:00:00Z,2014-02-07T00:00:00Z,2018-08-29T00:00:00Z,94,1,1440.08640724,2017-12-20T00:00:00Z,158050031.53,1.81203954,0.0377,-79450092.19,-0.3345,19725797.53,0.0378,,
BTG,BTG,BTG,Bitcoin Gold,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/btg.svg,active,30.00129778,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,17513924,21000000,525440449,0.0005,73,183,2,2017-10-24T00:00:00Z,2017-10-24T00:00:00Z,2018-08-29T00:00:00Z,95,-1,430.26550716,2017-12-20T00:00:00Z,32482474.62,-0.32433444,-0.0107,-43018901.73,-0.5698,-5680368.70,-0.0107,,
FXS,FXS,FXS,Frax Share (ERC-20),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FXS.jpg,active,7.32076749,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,71111332,99822984,520589529,0.0005,41,80,0,2020-04-16T00:00:00Z,2020-12-17T00:00:00Z,2020-04-16T00:00:00Z,96,1,41.29581589,2022-01-12T00:00:00Z,36342449.57,0.46457153,0.0678,13260054.11,0.5745,29351387.98,0.0597,ETH,2020-12-22T18:27:18.738244Z
LRC,LRC,LRC,Loopring,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LRC.jpg,active,0.41227819,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1245991469,1373873437,513695107,0.0005,140,526,5,2017-07-09T00:00:00Z,2017-09-01T00:00:00Z,2018-08-29T00:00:00Z,97,-1,3.40771082,2021-11-24T00:00:00Z,72234787.41,0.013517243,0.0339,-23530282.69,-0.2457,16842369.94,0.0339,ETH,
MINA,MINA,MINA,Mina Protocol,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MINA.png,active,0.80652962,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,617291460,941883293,497863849,0.0004,38,63,0,2021-04-13T00:00:00Z,2021-04-13T00:00:00Z,2021-04-15T00:00:00Z,98,3,55.94053807,2021-05-30T00:00:00Z,37073315.85,0.046414664,0.0611,1662428.16,0.0469,29922216.62,0.0639,,2021-04-14T14:25:23.039277Z
KAVA,KAVA,KAVA,Kava,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KAVA.png,active,2.06987924,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,239935247,244893443,496636986,0.0004,50,87,0,2019-10-24T00:00:00Z,2019-10-25T00:00:00Z,2019-10-25T00:00:00Z,99,1,8.58553581,2021-08-23T00:00:00Z,69002829.58,0.10021051,0.0509,-81114298.24,-0.5403,25326590.74,0.0537,BNB,
CEL,CEL,CEL,Celsius,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cel.jpg,active,1.18213705,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,410730516,695658161,485539758,0.0004,53,138,1,2018-04-24T00:00:00Z,2018-04-24T00:00:00Z,2019-06-12T00:00:00Z,100,-2,8.03100151,2021-06-03T00:00:00Z,13917299.51,0.0075152624,0.0064,-34573351.82,-0.7130,3086747.59,0.0064,ETH,